title,url,description,eligibility,benefits,how_to_apply,documents,application_link
,https://www.myscheme.gov.in/schemes/aaelss,"""Assam Abhinandan Education Loan Subsidy Scheme"" was launched on 26 December 2019 by the Hon'ble Chief Minister of Assam. The scheme is managed by the Finance Department, Govt. of Assam. The govt. will provide a loan subsidy of up to ₹ 50,000 on education loans to students pursuing higher education.","- The applicant student should be a permanent resident of Assam.
- The Education Loan should have been availed from any Scheduled Commercial Bank or Regional Rural Bank within the state recognized by the Reserve Bank of India.
- The education loan should be a minimum of ₹ 1,00,000.",,,,https://assamfinanceloans.in/subsidy/gotoHomeLoanApplication.action
,https://www.myscheme.gov.in/schemes/aejkbocwwb,"The ""Academic Education"" scheme by the JKBOCW Welfare Board, Labour Department, Jammu & Kashmir, provides financial assistance to regular students from Class 9th to Post-Graduation.","- The applicant should be a resident of Jammu & Kashmir.
- The applicant should be a Building/ Construction Worker.
- The applicant should be between 18 and 60 years.
- The applicant should have engaged in any building or other construction work for at least 90 days during the preceding 12 months.
- The registration of the applicant should be renewed annually.
- The parent/s must be registered member/s of the ""Jammu & Kashmir Building and Other Construction Workers Welfare Board"".
- The parent/s must have an active membership with the JKBOCWW Board.
- The child must be a student.
- The child must be a regular in attendance.","- Class 9th to 10th: ₹4,500/-.
- Class 11th to 12th: ₹ 6,000/-.
- Undergraduate: ₹10,000/-.
- Postgraduate: ₹15,000/-.",,,https://portal.jkbocw.gov.in/LoginGuest.aspx
,https://www.myscheme.gov.in/schemes/amsmhsslc,"The Directorate of Educational Research & Training Meghalaya, Shillong is implementing a scheme in providing a one-time award for meritorious tribal students of Meghalaya who passed the current HSSLC Examination (Science) every year.","- The applicant should be a tribal student belonging to the Khasi, Jaintia, Garo, Koch, or Hajong tribes of Meghalaya.
- The applicant should be a permanent resident of Meghalaya.
- The applicant should have passed the current HSSLC Examination from the Science stream.
- The applicant should have secured 60% or above aggregate marks in the examination.",,,,
,https://www.myscheme.gov.in/schemes/atbs,"The ""Awards to Bright Students"" scheme offers financial assistance to the top two boys and two girls from Adi Dravidar/Tribal/Adi Dravidar Converted to Christianity in each district who have excelled in their 10th standard public examinations and continue their studies.","- The beneficiary should be a resident of Tamil Nadu.
- The beneficiary should be a student.
- The beneficiary should have passed 10th std., Public Examinations.
- The beneficiary should be among the top two boys or two girls in their concerned district.
- The beneficiary should be continuing their studies after 10th standard.
- The beneficiary should belong to the Adi Dravidar/ Tribal/ Adi Dravidar Converted to Christianity communities.","- For the first year: ₹800/-.
- For the next five years (per year): ₹960/-.",,,
,https://www.myscheme.gov.in/schemes/atfy,The scheme aims to empower the youth of Uttarakhand by providing free adventure training programs that develop their skills and capabilities through various adventure activities.,"- The applicant must be a permanent resident of Uttarakhand.
- The applicant must be a male or female.
- The applicant must be between 15 to 30 years of age as on 1st March, 2023.
- The applicant must have passed at least class 8 th .
- The applicant must be physically fit to undergo adventure training.
- The applicant must not be suffering from Heart disease, Asthma, Epilepsy, or have rods implanted in arms or legs.
- The applicant will be given preference if they belong to volunteer of PARD, member of NSS, NCC, member/official of Yuvak or Mahila Mangal Dal.",,"- The department invites applications annually through newspapers.
- Interested candidates must obtain the application form from the PRD office and submit it along with the following documents: a photocopy of their educational qualification certificate, two passport-size color photographs, Aadhaar card, permanent residence certificate, and a health certificate issued by a medical officer.
- Once the documents are verified, eligible candidates are sent for training through the District Youth Welfare and PRD officers.",,
,https://www.myscheme.gov.in/schemes/bplscs,"The scheme “BPL Scholarship For College Students” was implemented by the Department of Higher Education, Government of Chhattisgarh since 2005 to provide financial assistance to meritorious students from BPL category families to meet a part of their day-to-day expenses while pursuing higher studies.","- The students of Graduate Level (UG) & Post Graduate Level (PG) who are studying in any Government college of Chhattisgarh, under the Higher Education Department are eligible to apply under the scheme.
- The student's guardian should have a BPL Card.
- The student is not getting the benefit of any other scholarship scheme.
- The students should pass the annual examination in the first attempt.
- The student attendance should not be shortened.","- The rate of scholarship for Post Graduate Level (PG) students is ₹500/- per month.
- The rate of scholarship for Graduate Level (UG) students is ₹300/- per month.
- The renewal applicants will get a full scholarship i.e. ₹3000 for UG Classes and ₹5000 for PG Classes.","- By the Institute where the student is studying.
- By the State Government office.",,
,https://www.myscheme.gov.in/schemes/bsccs,The Bihar Government launched the Bihar Student Credit Card (BSCC) scheme to provide financial aid to applicants to complete their higher education.,"- The applicant must be a resident of Bihar state and should be at least 25 years.
- The applicant must have passed the class 12th.
- The applicant must get admission to a course in an authorized institute.
- The applicant must complete the entire course.","- A maximum loan amount of ₹4 lakh.
- Loan can be availed for polytechnic, technical and general courses.
- This assistance may be utilized for purchasing of books and laptops or pay any kind of fees.
- Repayment of the loan starts once the course has been completed and student have secured a job.
- The interest rate of the loan is 1% for Divyang, transgender, and girl students.
- The recovery procedures are flexible since the loan is government-owned.","- Visit https://www.7nishchay-yuvaupmission.bihar.gov.in/ website.
- Click the ‘New Applicant Registration’ button.
- Fill the details, such as name, email ID, mobile number, Aadhaar number, and OTP and click the ‘Submit’ button.
- A successful registration message will be displayed, and the applicants will receive the username and password by email and SMS.
- Visit the https://www.7nishchay-yuvaupmission.bihar.gov.in/ website and log in using the username and password.
- Fill the details on the ‘Personal Information Page’ and click the ‘Submit’ button.
- Selects the ‘BSCC’ option from the drop-down list and click the ‘Apply’ button.
- Fill in the details on the BSCC form and submit it. A confirmation message and the acknowledgement number will be displayed.
- The respective District Registration and Counseling Center (DRCC) will schedule an appointment and send an email and SMS informing the applicant about the date of the visit to the DRCC.
- The applicant should visit the DRCC with self-attested documents and submit them to the Multi-Purpose Assistant (MPA) for verification.
- After verification by the concerned authorities and loan sanction by the bank, the DRCC will send an SMS and email to the applicant informing the date the applicant should visit the DRCC to collect the ‘Student Credit Card’ and sanction letter of the loan.
- The applicant should visit the bank to complete the documentation formalities after collecting the ‘Student Credit Card’ and the bank’s sanction letter from the DRCC.
- The applicant will get the loan disbursement from the bank, and bank officials will inform the same to the DRCC.
- The applicants can also track their application status on https://www.7nishchay-yuvaupmission.bihar.gov.in/addapplicationStatus .",,https://www.7nishchay-yuvaupmission.bihar.gov.in/addapplicationStatus
,https://www.myscheme.gov.in/schemes/ceaf,Children Education Assistance Fund (CEAF) is a scheme launched by the Nagaland state government to provide financial assistance to children who are studying in classes 1 to 10 in government schools. The scheme aims to ensure that no child is deprived of education due to financial constraints.,"- The scheme may not be applicable to students studying in private schools.
- The scheme may not be applicable to students who are receiving financial assistance from other government schemes for education.
- The scheme may not be applicable for students who have repeated classes or are over-age for their class.
- The scheme may not be applicable to students who have poor academic performance.
- The scheme may not be applicable to students who are absent from school for a significant period of time","- Financial Assistance: Under the CEAF scheme, eligible children are provided with financial assistance to cover the cost of tuition fees, textbooks, uniforms, and other educational expenses. This helps to reduce the burden of education-related expenses on families, especially those from economically weaker sections of society.
- Promotes Education: The CEAF scheme aims to ensure that no child is deprived of education due to financial constraints. By providing financial assistance to children, the scheme promotes education and helps to improve literacy rates in Nagaland.
- Inclusivity: The scheme ensures that all children, regardless of their socio-economic background, have access to education. This promotes inclusivity and helps to build a more equitable society.
- Reduced Drop-Out Rates: The financial assistance provided by the CEAF scheme can help to reduce the drop-out rates of children in government schools. By covering the cost of education-related expenses, the scheme encourages children to continue their education and complete their studies.","- Obtain the application form: Applicants can obtain the CEAF scheme application form from the office of the Department of School Education in Nagaland or any other designated office.
- Fill up the application form: Applicants should fill up the application form with accurate details and attach necessary documents as per the requirement of the scheme.
- Submit the application: The filled-up application form along with the necessary documents can then be submitted to the office of the Department of School Education or any other designated office.
- Application verification: The department will verify the application and the attached documents. If the application is found to be correct and complete, the department will process the application for financial assistance.
- Approval and disbursal of financial assistance: Once the application is approved, the financial assistance will be disbursed directly to the bank account of the parent/guardian of the child.",,
,https://www.myscheme.gov.in/schemes/cms-g,The scheme aims to provide merit-based scholarship to students of Assam studying in first semester degree and master degree courses in recognized institutions. It benefits academically meritorious students who have obtained at least 60% marks in their last qualifying examination.,"- The applicant must be pursuing general degree or master's degree courses in Arts, Science, or Commerce discipline in any recognized institution.
- The applicant must be domiciled in Assam (Permanent Resident Certificate document mandatory).
- The applicant must have obtained minimum 60% marks in Higher Secondary examination for those applying for Combined Merit Degree Scholarship scheme.
- The applicant must have obtained minimum 60% marks in General Degree (Three Year Degree Course) examination for those applying for Combined Merit Master Degree Scholarship scheme.
- The applicant must possess relevant qualification from any recognized institution.
- The applicant must have a valid bank account in their name (preferably in State Bank of India).","- For Degree Courses: ₹300/- per month.
- For Master Degree Courses: ₹500/- per month.
- The scheme provides 200 scholarships for degree students (three years duration) and 100 scholarships for master degree students (two years duration).
- The applicant must maintain enrollment in the respective degree or master's degree course throughout the scholarship period.
- Academic performance standards must be maintained as per institutional and scheme requirements.
- Regular attendance and compliance with all institutional rules and regulations.
- Bank account must remain active and updated for Direct Benefit Transfer disbursement.",,,
,https://www.myscheme.gov.in/schemes/cmss,"Under this scheme, financial support is provided to students from Class XI to Ph.D. level. It offers a fixed annual scholarship of ₹6,000 for post-matric studies, which is paid directly into the students’ bank accounts. This scholarship is often provided in addition to other scholarships.","- The student must be a domicile of Meghalaya.
- The student must have a valid bank account, mobile number, and email ID.
- Students pursuing part-time or correspondence courses are not eligible.
- The student must have secured at least 35% marks in the preceding academic year.
- The scholarship is available only to students pursuing full-time regular courses in recognized institutions, including:",,"- PDS (Ration Card)
- Election Photo ID Card (EPIC).",,
